Alice;4;3;5;2;4;3;5;4;2;3
Bob;3;5;4;2;3;4;2;3;5;4
Charlie;5;3;4;5;4;5;3;4;2;4
David;3;2;4;4;2;3;1;3;3;4
Eva;4;5;3;4;2;4;5;3;4;4
Frank;2;4;3;3;4;2;3;4;2;5
Grace;5;4;4;2;4;5;3;4;4;5
Henry;3;4;2;3;2;3;4;2;5;4
Ivy;4;3;5;4;5;2;4;5;3;4
Jack;3;2;4;2;3;1;3;3;4;5
Kylie;5;4;5;5;4;2;4;2;3;4
Liam;2;3;4;2;3;4;2;5;4;3
Mia;5;3;4;4;5;3;4;4;2;5
Noah;3;4;2;3;2;3;4;2;3;4
Olivia;4;5;3;4;4;2;4;5;3;5
Penny;3;4;2;4;2;3;1;3;3;4
Quincy;5;3;4;5;5;4;2;4;2;3
Riley;2;3;4;3;2;3;4;2;5;4
Sophia;4;5;3;4;5;4;5;3;4;3
Tom;3;4;2;3;4;2;3;4;2;3
Ursula;5;4;4;2;4;5;3;4;4;5
Victor;3;2;4;4;2;3;1;3;3;4
Wendy;4;3;4;5;3;4;5;4;2;5
Xander;2;3;4;3;4;2;3;4;2;4
Yara;5;4;5;3;5;4;2;4;5;3
Zane;3;2;3;4;2;3;4;2;3;4
Grace2;5;4;4;2;4;5;3;4;4;5
Oscar;4;3;5;2;4;3;5;4;2;3
Victoria;3;5;4;2;3;4;2;3;5;4
Isaac;5;3;4;5;4;5;3;4;2;4
Sophie;3;2;4;4;2;3;1;3;3;4
Charlie;4;5;3;4;2;4;5;3;4;4
Emma;2;4;3;3;4;2;3;4;2;5
Oliver;5;4;4;2;4;5;3;4;4;5
Ava;3;4;2;3;2;3;4;2;5;4
Mason;4;3;5;4;5;2;4;5;3;4
Sophia;3;2;4;2;3;1;3;3;4;5
Jackson;5;4;5;5;4;2;4;2;3;4
Emma;2;3;4;2;3;4;2;5;4;3
Olivia;5;3;4;4;5;3;4;4;2;5
Liam;3;4;2;3;2;3;4;2;3;4
Ava;4;5;3;4;4;2;4;5;3;5
Lucas;3;4;2;4;2;3;1;3;3;4
Sophia;5;3;4;5;5;4;2;4;2;3
Oliver;2;3;4;3;2;3;4;2;5;4
Isabella;4;5;3;4;5;4;5;3;4;3
Liam;3;4;2;3;4;2;3;4;2;3
Emma;5;4;4;2;4;5;3;4;4;5
Noah;3;2;4;4;2;3;1;3;3;4
Olivia;4;3;4;5;3;4;5;4;2;5
Liam;2;3;4;3;4;2;3;4;2;4
Emma;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Ava;5;4;4;2;4;5;3;4;4;5
Lucas;4;5;3;4;2;4;5;3;4;4
Sophia;2;4;3;3;4;2;3;4;2;5
Jackson;5;3;4;5;4;5;3;4;2;4
Emma;3;2;4;2;3;1;3;3;4;5
Olivia;4;5;3;4;4;2;4;5;3;5
Liam;3;4;2;3;2;3;4;2;5;4
Ava;4;3;4;5;3;4;5;4;2;5
Lucas;2;3;4;3;4;2;3;4;2;4
Sophia;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Isabella;4;5;3;4;5;4;5;3;4;3
Liam;3;4;2;3;4;2;3;4;2;3
Emma;5;4;4;2;4;5;3;4;4;5
Noah;3;2;4;4;2;3;1;3;3;4
Olivia;4;3;4;5;3;4;5;4;2;5
Liam;2;3;4;3;4;2;3;4;2;4
Emma;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Ava;5;4;4;2;4;5;3;4;4;5
Lucas;4;5;3;4;2;4;5;3;4;4
Sophia;2;4;3;3;4;2;3;4;2;5
Jackson;5;3;4;5;4;5;3;4;2;4
Emma;3;2;4;2;3;1;3;3;4;5
Olivia;4;5;3;4;4;2;4;5;3;5
Liam;3;4;2;3;2;3;4;2;5;4
Ava;4;3;4;5;3;4;5;4;2;5
Lucas;2;3;4;3;4;2;3;4;2;4
Sophia;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Isabella;4;5;3;4;5;4;5;3;4;3
Liam;3;4;2;3;4;2;3;4;2;3
Emma;5;4;4;2;4;5;3;4;4;5
Noah;3;2;4;4;2;3;1;3;3;4
Olivia;4;3;4;5;3;4;5;4;2;5
Liam;2;3;4;3;4;2;3;4;2;4
Emma;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Isabella;4;5;3;4;5;4;5;3;4;3
Liam;3;4;2;3;4;2;3;4;2;3
Emma;5;4;4;2;4;5;3;4;4;5
Noah;3;2;4;4;2;3;1;3;3;4
Olivia;4;3;4;5;3;4;5;4;2;5
Liam;2;3;4;3;4;2;3;4;2;4
Emma;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Isabella;4;5;3;4;5;4;5;3;4;3
Liam;3;4;2;3;4;2;3;4;2;3
Emma;5;4;4;2;4;5;3;4;4;5
Noah;3;2;4;4;2;3;1;3;3;4
Olivia;4;3;4;5;3;4;5;4;2;5
Liam;2;3;4;3;4;2;3;4;2;4
Emma;5;4;5;3;5;4;2;4;5;3
Oliver;3;2;3;4;2;3;4;2;3;4
Isabella;4;5;3;4;5;4;5;3;4;3
